state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
RI,NA,area_code_510,no,no,0,137.4,126,23.36,120,94,10.2,130.3,64,5.86,12.4,2,3.35,3,no
TX,136,area_code_408,no,no,0,2018.6,106,45.87,1160.8,101,19.45,257.5,106,11.59,10.1,8,2.73,1,yes
IA,113,area_code_510,no,no,0,156,141,26.52,256.8,72,21.83,175.3,123,7.89,11.9,5,3.21,2,no
DC,119,area_code_408,no,yes,26,132,100,22.44,173.3,121,14.73,203.5,108,9.16,11.6,5,3.13,1,no
SD,NA,area_code_510,no,no,0,127.1,102,21.61,247.7,106,21.05,207.7,75,9.35,5,3,1.35,3,no
AR,58,area_code_415,no,no,0,238.9,107,40.61,187.2,88,15.91,181.1,84,8.15,11.8,3,3.19,2,no
WY,42,area_code_408,no,no,0,146.3,84,24.87,255.9,113,21.75,45,117,2.03,8,12,2.16,1,no
OR,NA,area_code_408,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,no
MO,20,area_code_415,no,no,0,2065.1,109,32.3,1190.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,no
SD,114,area_code_415,no,yes,25,129,77,21.93,290,110,24.65,177.1,110,7.97,11.6,5,3.13,1,no
DE,183,area_code_415,no,yes,8,86.5,119,14.71,285.2,97,24.24,180.4,133,8.12,8.7,2,2.35,2,no
AZ,138,area_code_415,no,no,-5,240.8,104,40.94,144.5,92,12.28,125.7,98,5.66,11.6,1,3.13,0,no
PA,122,area_code_415,yes,no,0,230.9,132,39.25,243.2,99,20.67,182.4,57,8.21,11,2,2.97,0,yes
MD,136,area_code_415,no,no,0,250.2,121,42.53,267.1,118,22.7,151,114,6.8,13,2,3.51,1,yes
MS,NA,area_code_415,no,no,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,yes
GA,101,area_code_415,no,yes,33,200.1,108,34.02,188.9,122,16.06,205.1,90,9.23,15.5,4,4.19,0,no
UT,104,area_code_408,no,no,-7,263.4,101,44.78,235.5,117,20.02,102,146,4.59,13,4,3.51,0,no
NE,124,area_code_510,no,no,0,191.3,134,32.52,261.5,113,22.23,182.3,111,8.2,10,3,2.7,1,no
CT,22,area_code_408,no,no,0,207.7,116,35.31,210.6,99,17.9,238.2,88,10.72,9.6,5,2.59,0,no
IN,65,area_code_415,no,no,0,213.4,111,36.28,234.5,94,19.93,250.1,123,11.25,2.7,4,0.73,1,no
DC,126,area_code_415,no,no,0,161.4,110,27.44,220.6,125,18.75,249.2,78,11.21,5.1,2,1.38,0,no
UT,117,area_code_510,no,yes,20,205.7,98,34.97,136.1,107,11.57,159.4,147,7.17,8.7,3,2.35,2,no
KS,127,area_code_415,no,yes,24,154.8,69,26.32,177.2,105,15.06,207.6,102,9.34,9,4,2.43,1,no
NY,209,area_code_415,no,no,-9,153.7,105,26.13,188.6,87,16.03,200.8,95,9.04,10.7,2,2.89,0,no
MS,86,area_code_510,no,yes,39,261.2,122,44.4,214.2,101,18.21,154.9,101,6.97,12.7,5,3.43,2,no
SD,139,area_code_510,no,no,0,196,135,33.32,186,146,15.81,153,92,6.89,9.8,1,2.65,3,no
NC,27,area_code_408,no,no,-4,201.2,128,34.2,227.2,100,19.31,145.8,91,6.56,8.4,3,2.27,2,no
WY,NA,area_code_510,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,yes
MN,NA,area_code_415,no,no,0,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,no
GA,NA,area_code_408,no,yes,21,134.2,105,22.81,162.5,128,13.81,186.6,90,8.4,11.8,2,3.19,4,yes
NJ,88,area_code_415,no,no,0,301.5,136,51.26,257.7,72,21.9,132.9,118,5.98,13.4,2,3.62,4,yes
GA,194,area_code_510,no,no,0,193.3,106,32.86,169,150,14.37,225.2,122,10.13,11.8,4,3.19,0,no
VT,129,area_code_408,no,no,0,2086.8,127,31.62,1194.3,96,22.3,98.9,63,4.45,11.5,6,3.11,4,no
VA,43,area_code_408,no,yes,35,200.2,105,34.03,244.4,88,20.77,207.2,97,9.32,11.6,4,3.13,3,no
WY,NA,area_code_415,no,no,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,no
AL,117,area_code_510,no,no,-1,158.7,84,26.98,181.7,91,15.44,177.3,67,7.98,7.7,10,2.08,2,no
WV,95,area_code_415,no,no,0,175.2,91,29.78,244.4,109,20.77,75.8,95,3.41,7.5,2,2.03,1,no
NC,72,area_code_415,no,no,0,137.6,106,23.39,143.5,94,12.2,273.7,110,12.32,9.6,NA,2.59,2,no
NJ,106,area_code_415,no,no,0,191.4,124,32.54,200.7,116,17.06,230.1,76,10.35,8.2,3,2.21,1,no
AK,99,area_code_510,no,no,0,238.4,96,40.53,246.5,130,20.95,198.4,117,8.93,12.4,4,3.35,3,no
LA,179,area_code_408,no,no,0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,no
CA,37,area_code_415,no,no,0,191.1,69,32.49,129.2,113,10.98,207.5,117,9.34,12.9,1,3.48,0,no
NM,118,area_code_510,no,no,0,205.2,115,34.88,184.8,137,15.71,176.1,115,7.92,7,6,1.89,0,no
WI,142,area_code_510,no,no,0,232.1,102,39.46,168.2,110,14.3,197.3,120,8.88,9.9,3,2.67,1,no
MI,NA,area_code_510,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,no
AZ,140,area_code_408,no,no,0,173.2,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,5,3.02,3,no
HI,NA,area_code_408,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,no
AL,141,area_code_408,no,no,0,2044.7,90,41.28,1166.1,80,19.9,211.5,104,9.52,6,3,1.62,5,no
RI,70,area_code_415,no,no,0,2034.7,96,22.9,1167.9,90,20.05,260.2,113,11.71,7.6,6,2.05,3,no
IL,16,area_code_415,yes,no,0,110,91,18.7,147.3,75,12.52,190.5,73,8.57,6.4,NA,1.73,0,no
ND,105,area_code_415,no,yes,23,2037.6,85,32.9,1152.2,90,18.72,272.4,111,12.26,8.5,5,2.3,0,no
TX,53,area_code_415,no,no,0,2177.8,113,20.35,1121.7,84,16.12,256.2,108,11.53,12.9,7,3.48,2,no
MD,111,area_code_510,no,no,0,123.1,88,20.93,213.9,84,18.18,184.9,88,8.32,12,2,3.24,5,yes
KS,110,area_code_415,yes,yes,27,267.9,103,45.54,263.3,74,22.38,178.1,106,8.01,8.3,2,2.24,1,yes
CO,NA,area_code_408,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,yes
MD,71,area_code_415,no,yes,-7,115.4,90,19.62,217.4,78,18.48,239.9,102,10.8,13.1,4,3.54,1,no
CO,107,area_code_415,no,no,0,167.3,100,28.44,163.9,79,13.93,185.9,100,8.37,6.7,5,1.81,2,no
UT,44,area_code_415,no,no,0,202.6,89,34.44,163,96,13.86,268.1,151,12.06,8.3,3,2.24,0,no
OH,73,area_code_415,no,no,0,183.4,80,31.18,242,115,20.57,201.4,100,9.06,7.5,3,2.03,4,no
FL,153,area_code_415,no,no,0,228.9,102,38.91,160.7,136,13.66,203.1,109,9.14,12.5,2,3.38,0,no
IA,NA,area_code_408,no,no,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,no
VA,NA,area_code_510,no,yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10,5,2.7,1,no
OK,127,area_code_510,no,yes,27,2.6,113,0.44,NA,102,21.59,242.7,156,10.92,9.2,5,2.48,3,no
AL,102,area_code_415,no,no,0,123.1,106,20.93,182,102,15.47,244.6,75,11.01,12.6,7,3.4,2,no
NE,127,area_code_510,yes,no,0,180.9,114,30.75,209.5,118,17.81,249.9,105,11.25,7.4,4,2,2,no
AR,54,area_code_415,no,no,0,247.5,85,42.08,225.4,93,19.16,244.3,132,10.99,10.2,2,2.75,2,yes
CA,NA,area_code_415,no,yes,31,109.6,108,18.63,249.3,119,21.19,321.2,101,14.45,8.3,4,2.24,4,yes
VT,67,area_code_408,no,no,0,260.4,107,44.27,208.2,104,17.7,207.9,115,9.36,10,2,2.7,6,no
AR,NA,area_code_510,no,no,0,172.7,95,29.36,139.1,90,11.82,174.3,99,7.84,11.7,1,3.16,2,no
HI,79,area_code_415,no,no,0,41.9,124,7.12,211,95,17.94,237.9,55,10.71,11.4,5,3.08,1,no
WV,88,area_code_510,no,no,0,131.5,99,22.36,174.8,128,14.86,184.2,83,8.29,7.9,2,2.13,5,yes
KS,84,area_code_415,no,no,0,225.9,86,38.4,275.6,105,23.43,201.4,108,9.06,14.3,3,3.86,3,yes
ME,80,area_code_408,no,yes,31,166.4,92,28.29,238.3,74,20.26,150.7,84,6.78,10.7,4,2.89,4,no
UT,61,area_code_510,yes,no,0,78.2,103,13.29,195.9,149,16.65,108,100,4.86,10.1,6,2.73,2,no
WV,124,area_code_415,no,no,0,312,112,53.04,180,109,15.3,168.6,94,7.59,12.8,4,3.46,1,yes
NM,119,area_code_510,no,yes,23,154,114,26.18,278,137,23.63,228.4,112,10.28,11.8,4,3.19,2,no
RI,46,area_code_408,no,no,0,40.4,105,6.87,172.4,83,14.65,145.1,89,6.53,9,2,2.43,2,no
NH,148,area_code_408,no,no,0,17.6,121,2.99,161.7,125,13.74,203.1,82,9.14,10.6,6,2.86,1,no
MO,NA,area_code_510,no,no,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,no
IN,72,area_code_510,no,no,0,287.4,116,48.86,235.3,126,20,292.1,114,13.14,5,3,1.35,4,yes
RI,95,area_code_510,no,yes,-8,129.5,106,22.02,248.9,90,21.16,268,115,12.06,11.9,3,3.21,1,no
OK,57,area_code_408,no,yes,25,2062.3,94,30.06,1127,75,16.58,213.5,116,9.61,8.3,4,2.24,0,no
CO,157,area_code_415,no,no,0,196,74,33.32,NA,96,18.14,196.8,81,8.86,7.9,6,2.13,1,no
OH,146,area_code_408,no,yes,31,202.5,91,34.43,241.4,108,20.52,169.6,77,7.63,7.8,2,2.11,1,no
SC,104,area_code_415,no,no,0,109.1,141,18.55,187.1,140,15.9,216.6,100,9.75,10,4,2.7,3,no
NV,81,area_code_415,no,yes,28,167.9,147,28.54,190.7,105,16.21,193,103,8.69,9.2,6,2.48,4,yes
NV,-53,area_code_415,no,no,0,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0,no
AZ,NA,area_code_408,no,yes,31,167.6,139,28.49,113,118,9.61,246.9,121,11.11,12.2,6,3.29,1,no
SD,30,area_code_415,no,no,0,2075.3,107,42.06,1107.9,76,14.95,287.4,90,12.93,11.3,2,3.05,0,no
SC,100,area_code_510,no,no,0,115.9,87,19.7,111.3,56,9.46,170.2,77,7.66,7.1,4,1.92,1,no
MA,103,area_code_415,no,no,0,185,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,no
OH,107,area_code_415,no,yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,no
NV,42,area_code_415,no,no,0,2050,106,51.66,1164.2,54,19.74,147.1,76,6.62,5.8,3,1.57,1,yes
SD,NA,area_code_408,no,no,0,163.6,88,27.81,283.4,93,24.09,262.1,108,11.79,8.6,9,2.32,0,no
ME,149,area_code_415,no,yes,18,148.5,106,25.25,114.5,106,9.73,178.3,98,8.02,6.5,4,1.76,0,no
MI,102,area_code_510,no,no,-1,102.6,89,17.44,246,77,20.91,170.5,140,7.67,9.1,4,2.46,2,no
IN,114,area_code_408,no,no,0,203.8,85,34.65,87.8,110,7.46,166.2,122,7.48,11.7,4,3.16,1,no
AR,156,area_code_415,no,no,0,178.8,94,30.4,178.4,97,15.16,169.2,77,7.61,7.5,3,2.03,1,no
ID,87,area_code_415,no,no,0,156.8,93,26.66,215.8,68,18.34,223.3,77,10.05,7.6,6,2.05,1,no
NJ,153,area_code_415,no,no,0,193.8,90,32.95,195.3,121,16.6,182.7,108,8.22,8.5,3,2.3,1,no
WV,70,area_code_415,no,no,0,214.8,87,36.52,131,114,11.14,216.9,104,9.76,9.4,3,2.54,3,no
AZ,NA,area_code_415,no,no,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,no
AK,177,area_code_415,yes,no,-2,248.7,118,42.28,172.3,73,14.65,191.9,87,8.64,11.3,2,3.05,1,yes
MN,124,area_code_510,yes,no,0,157.8,71,26.83,NA,114,17.27,168.7,82,7.59,10,2,2.7,3,yes
AR,86,area_code_408,no,yes,16,145.7,88,24.77,191,129,16.24,215.5,82,9.7,11.3,7,3.05,0,no
ID,82,area_code_510,no,yes,34,232.6,121,39.54,153.2,115,13.02,286.7,77,12.9,4.7,3,1.27,3,no
ID,173,area_code_510,no,yes,21,232.4,96,39.51,NA,118,18.01,273,102,12.29,5,5,1.35,3,no
IN,86,area_code_510,no,no,0,2022.4,96,36.77,1198.3,77,22.64,214,110,9.63,4.5,3,1.22,0,no
HI,99,area_code_415,no,no,0,124.6,90,21.18,146.4,70,12.44,169.4,95,7.62,10.5,6,2.84,1,no
MD,129,area_code_415,no,yes,34,204.5,79,34.77,132.8,113,11.29,190.1,117,8.55,14.8,9,4,2,no
ND,27,area_code_415,no,no,0,227.4,67,38.66,248,115,21.08,61.4,109,2.76,7.8,6,2.11,1,no
NC,64,area_code_408,no,yes,19,1975.9,106,30.62,1059.5,92,10.84,237.4,118,10.68,7.5,3,2.03,0,no
WV,68,area_code_415,no,no,0,2007.7,57,39.29,1085.4,55,13.04,191.3,123,8.61,9.6,4,2.59,3,no
OH,95,area_code_415,no,yes,23,160.3,87,27.25,202.4,101,17.2,191.1,122,8.6,7.4,3,2,0,no
VT,48,area_code_510,no,no,0,188.4,63,32.03,165.9,89,14.1,205.7,71,9.26,13.2,2,3.56,1,no
WA,119,area_code_415,no,yes,26,161.3,97,27.42,250.3,110,21.28,142.4,92,6.41,6.6,8,1.78,1,no
OK,110,area_code_510,no,no,0,2040.6,127,31.96,1022.5,118,7.69,150.3,64,6.76,15.3,3,4.13,3,no
NJ,95,area_code_415,no,yes,22,40.9,126,6.95,133.4,90,11.34,264.2,91,11.89,11.9,7,3.21,0,no
MA,102,area_code_510,yes,no,0,233.8,103,39.75,221.6,131,18.84,146.9,106,6.61,12.8,3,3.46,0,no
HI,115,area_code_415,no,yes,33,145,72,24.65,194.5,157,16.53,242.3,138,10.9,14.2,3,3.83,2,no
WV,NA,area_code_415,no,no,0,180,100,30.6,229,103,19.47,139.4,105,6.27,7.8,8,2.11,3,no
ND,84,area_code_510,no,no,0,226.9,144,38.57,201.6,122,17.14,130.2,121,5.86,13.2,5,3.56,2,no
ME,177,area_code_415,no,no,0,1999.2,106,39.58,1107.2,97,14.89,212.2,77,9.55,12.5,7,3.38,2,no
ID,82,area_code_408,no,no,0,101,93,17.17,155.6,104,13.23,304.4,93,13.7,13.3,2,3.59,0,no
ME,36,area_code_510,yes,yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20,6,5.4,0,yes
DE,105,area_code_415,yes,no,0,150,106,25.5,293.8,123,24.97,250.7,65,11.28,10.3,7,2.78,3,no
MO,98,area_code_415,no,no,-2,221.2,80,37.6,213.6,104,18.16,291.8,89,13.13,11.9,3,3.21,4,no
MS,102,area_code_510,yes,no,0,2027,81,38.11,1175.3,90,20.68,147.8,66,6.65,12,8,3.24,3,no
LA,106,area_code_408,no,no,0,2185.1,120,37.52,1202.2,95,22.97,121.6,113,5.47,8.7,5,2.35,1,no
OR,120,area_code_415,no,no,0,252,120,42.84,150.2,106,12.77,151.8,96,6.83,9.6,1,2.59,2,no
MS,118,area_code_415,no,yes,26,1977.6,114,29.04,1131.5,125,16.96,169.7,98,7.64,9.6,5,2.59,5,yes
IL,179,area_code_408,no,no,0,234.5,134,39.87,164.2,94,13.96,191.4,72,8.61,6.1,4,1.65,1,no
ID,99,area_code_408,no,no,0,159.7,83,27.15,155.4,121,13.21,255.7,114,11.51,8.4,3,2.27,1,no
OR,95,area_code_415,no,no,0,269,120,45.73,233.7,120,19.86,179.3,61,8.07,7.3,4,1.97,2,yes
VA,11,area_code_408,no,yes,24,131.5,98,22.36,230.2,111,19.57,283.7,87,12.77,10,3,2.7,2,no
ND,147,area_code_408,yes,yes,35,157.5,109,26.78,189.6,67,16.12,227,76,10.22,11.1,2,3,3,yes
NY,126,area_code_415,yes,no,-2,239.7,87,40.75,281.7,92,23.94,183.5,113,8.26,11.4,1,3.08,1,yes
MS,126,area_code_415,no,no,0,256.5,112,43.61,199.5,90,16.96,188.3,122,8.47,7,5,1.89,3,no
TX,NA,area_code_415,no,no,0,203.3,108,34.56,259.9,66,22.09,115.9,103,5.22,7.8,2,2.11,3,no
ID,170,area_code_510,no,yes,37,178.1,130,30.28,242.8,103,20.64,243,93,10.93,13,4,3.51,0,no
NM,94,area_code_415,no,no,-3,108,79,18.36,241.9,152,20.56,252.1,92,11.34,10.4,3,2.81,3,no
NC,115,area_code_510,yes,no,0,2078.3,69,42.72,1184.5,96,21.46,118.3,112,5.32,9.9,1,2.67,3,yes
AZ,95,area_code_408,no,no,0,238.1,65,40.48,187.2,98,15.91,190,115,8.55,11.8,4,3.19,4,no
VT,109,area_code_408,no,no,0,222.2,113,37.77,218.5,122,18.57,266,88,11.97,10.9,5,2.94,1,no
NC,128,area_code_510,no,no,0,187.3,84,31.84,270.8,95,23.02,206.4,68,9.29,10.1,5,2.73,1,no
AK,97,area_code_415,no,yes,24,176.1,109,29.94,159.4,81,13.55,269.1,94,12.11,12.1,9,3.27,0,no
CT,146,area_code_408,no,yes,23,149.6,96,25.43,239.8,124,20.38,293.5,135,13.21,7.4,4,2,2,no
RI,114,area_code_510,no,yes,28,2095.1,94,38.39,1125,117,16.41,232.4,100,10.46,8.4,9,2.27,4,no
MN,53,area_code_415,no,no,0,164.1,106,27.9,206,56,17.51,194.7,124,8.76,11.4,2,3.08,1,no
CA,75,area_code_510,no,yes,38,163.6,132,27.81,146.7,113,12.47,345.8,115,15.56,13.1,3,3.54,3,no
MA,86,area_code_510,no,no,0,176.3,79,29.97,259.2,97,22.03,287.4,78,12.93,6.2,NA,1.67,0,no
OK,155,area_code_415,no,yes,23,243.9,112,41.46,133,106,11.31,213.7,123,9.62,13.4,11,3.62,2,no
TN,3,area_code_510,yes,no,0,161,96,27.37,244.9,82,20.82,180.8,103,8.14,7.7,6,2.08,1,no
IA,126,area_code_408,no,yes,27,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2,no
IN,100,area_code_415,no,yes,32,125.2,123,21.28,230.9,101,19.63,192,106,8.64,12.6,9,3.4,3,no
ME,57,area_code_415,no,yes,33,193.4,105,32.88,231.6,79,19.69,226.2,90,10.18,11.1,11,3,2,no
IL,138,area_code_408,yes,no,0,268.4,81,45.63,174.4,115,14.82,193.5,96,8.71,11.6,4,3.13,1,no
ME,137,area_code_510,no,no,0,2016.6,79,18.79,1155.2,111,18.97,169.5,64,7.63,10.5,3,2.84,3,no
AK,110,area_code_415,no,no,0,148.4,95,25.23,193.8,98,16.47,206,106,9.27,6.9,6,1.86,0,no
NE,67,area_code_415,no,yes,41,174.7,86,29.7,160.6,93,13.65,155.3,108,6.99,13.4,1,3.62,0,no
WV,NA,area_code_415,no,no,0,85.9,113,14.6,226.7,91,19.27,279.6,110,12.58,15.6,16,4.21,0,no
MI,87,area_code_415,no,no,0,198.3,80,33.71,187,89,15.9,133.5,96,6.01,16.6,4,4.48,2,no
MS,111,area_code_415,no,yes,36,96.8,123,16.46,170.6,105,14.5,166,85,7.47,13.4,4,3.62,2,no
FL,102,area_code_408,no,yes,29,214.7,86,36.5,314.3,109,26.72,280.2,110,12.61,14.3,2,3.86,0,no
RI,75,area_code_415,no,no,0,1982.4,91,32.39,1110.4,75,15.16,162.4,113,7.31,13.1,5,3.54,1,no
WI,NA,area_code_415,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,no
VA,77,area_code_510,no,no,0,144.9,136,24.63,151.3,115,12.86,252.4,73,11.36,12.3,3,3.32,2,no
IN,131,area_code_408,no,no,0,240.9,108,40.95,167.4,91,14.23,322.2,109,14.5,14.7,8,3.97,3,no
AL,61,area_code_415,no,yes,20,254.4,133,43.25,161.7,96,13.74,251.4,91,11.31,10.5,4,2.84,0,no
NV,94,area_code_408,yes,no,0,89.5,94,15.22,339.9,106,28.89,172.9,76,7.78,7.9,1,2.13,1,yes
MN,-59,area_code_408,no,yes,32,211.9,120,36.02,202.9,136,17.25,213.5,95,9.61,8.8,5,2.38,1,no
VT,122,area_code_415,no,no,0,136.7,115,23.24,243.1,137,20.66,188.9,110,8.5,8.6,4,2.32,0,no
AL,76,area_code_415,no,no,0,179.2,85,30.46,222.9,66,18.95,188.2,113,8.47,12.4,NA,3.35,0,no
RI,121,area_code_408,no,no,0,170.4,108,28.97,350.5,68,29.79,297,87,13.37,11.2,3,3.02,0,yes
MN,139,area_code_510,no,no,0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,yes
UT,49,area_code_415,no,no,0,266.3,90,45.27,207.8,117,17.66,205,98,9.23,14,2,3.78,2,yes
NM,232,area_code_408,no,no,0,2055.3,104,28.15,1127.9,115,16.65,118.3,77,5.32,11.8,3,3.19,1,no
OH,119,area_code_415,no,yes,35,217.1,92,36.91,220.8,134,18.77,249.5,93,11.23,8,5,2.16,2,no
WY,NA,area_code_415,no,no,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,no
PA,101,area_code_415,no,no,0,206.6,105,35.12,224.9,117,19.12,249.9,100,11.25,14.6,3,3.94,0,no
IL,142,area_code_415,no,no,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,NA,3.83,2,no
MS,NA,area_code_415,no,no,0,217.3,91,36.94,216.1,95,18.37,148.1,76,6.66,11.3,3,3.05,2,no
WV,NA,area_code_510,yes,yes,41,146.8,128,24.96,285.6,96,24.28,213.6,80,9.61,4.3,2,1.16,1,yes
MN,50,area_code_415,no,no,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,no
ID,118,area_code_415,no,no,-1,140.4,112,23.87,187.1,60,15.9,207.9,155,9.36,7.9,1,2.13,0,no
AL,92,area_code_408,no,yes,38,242.2,96,41.17,159.7,144,13.57,210,108,9.45,8.9,1,2.4,1,no
ND,132,area_code_415,no,yes,31,174.5,101,29.67,245.6,105,20.88,172.8,76,7.78,10.3,9,2.78,1,no
DE,NA,area_code_415,no,no,0,254.8,85,43.32,143.4,80,12.19,153.9,102,6.93,15,7,4.05,2,no
CA,103,area_code_415,no,yes,18,149.9,84,25.48,170.9,84,14.53,171.5,112,7.72,11.5,7,3.11,0,yes
NY,NA,area_code_408,yes,no,0,122.3,83,20.79,118.8,94,10.1,147.9,95,6.66,13.7,3,3.7,3,yes
MO,109,area_code_415,no,no,0,200.1,72,34.02,300.9,120,25.58,236,68,10.62,11.9,5,3.21,0,no
VA,113,area_code_408,no,yes,34,2020.6,63,7.63,1066.2,82,11.41,168.4,118,7.58,13.3,3,3.59,1,no
DC,217,area_code_415,no,no,0,123.7,138,21.03,248.5,105,21.12,269.6,78,12.13,13.3,4,3.59,0,no
NC,NA,area_code_510,no,no,0,165.7,94,28.17,257.4,80,21.88,170.8,114,7.69,10,4,2.7,1,no
IL,76,area_code_510,no,no,0,186.1,96,31.64,211.6,100,17.99,230.6,100,10.38,8,4,2.16,0,no
AR,34,area_code_510,no,no,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10,4,2.7,2,no
WY,34,area_code_408,no,no,0,128.8,80,21.9,NA,93,17.74,202.1,103,9.09,14,7,3.78,1,no
NM,174,area_code_415,no,no,0,239.2,72,40.66,188.5,124,16.02,105.6,116,4.75,8.8,3,2.38,1,no
NC,NA,area_code_510,no,no,0,145,76,24.65,240.7,112,20.46,197.1,134,8.87,7.1,4,1.92,3,no
CO,128,area_code_510,no,no,0,199.3,86,33.88,194.8,102,16.56,298.2,82,13.42,14.3,2,3.86,4,no
WA,56,area_code_415,no,yes,29,37.7,115,6.41,144.1,111,12.25,226.6,101,10.2,4.9,3,1.32,1,no
KY,104,area_code_415,no,no,0,130.5,77,22.19,131.2,117,11.15,264.7,63,11.91,13,6,3.51,0,no
DE,224,area_code_510,yes,no,0,171.5,99,29.16,NA,103,13.6,212.4,102,9.56,5,2,1.35,1,yes
NY,NA,area_code_415,no,yes,16,88.5,87,15.05,178.8,108,15.2,228.7,96,10.29,11.5,3,3.11,2,no
WA,166,area_code_408,no,no,0,1983.7,110,46.63,984.9,109,4.5,246.1,119,11.07,10.9,5,2.94,0,no
KS,110,area_code_415,yes,no,0,293.3,79,49.86,188.5,90,16.02,266.9,91,12.01,14.5,4,3.92,0,yes
RI,111,area_code_415,no,no,0,229.4,107,39,214.1,99,18.2,289.6,95,13.03,10.4,6,2.81,4,no
AK,132,area_code_510,no,no,0,181.1,121,30.79,314.4,109,26.72,246.7,81,11.1,4.2,9,1.13,2,no
CT,37,area_code_408,no,no,0,134.9,98,22.93,248.4,130,21.11,236.2,113,10.63,14.7,2,3.97,3,no
MI,128,area_code_415,no,no,0,179.4,94,30.5,270.4,92,22.98,191,88,8.59,7.9,4,2.13,0,no
IN,NA,area_code_408,no,no,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,no
WI,87,area_code_415,no,no,0,238,97,40.46,164.5,97,13.98,282.5,132,12.71,10.6,6,2.86,2,no
ID,103,area_code_415,no,no,0,174.7,151,29.7,148,56,12.58,168.2,109,7.57,15.8,3,4.27,6,yes
CO,159,area_code_408,yes,no,0,2074,53,43.71,1244.2,127,26.54,183,82,8.24,8.8,6,2.38,1,yes
AR,109,area_code_510,no,no,0,170.7,101,29.02,240.2,82,20.42,119,112,5.36,11.4,4,3.08,2,no
KY,72,area_code_415,no,no,0,198.4,147,33.73,216.9,121,18.44,112.8,125,5.08,13.1,4,3.54,0,no
IA,44,area_code_415,no,no,0,308.6,139,52.46,150.8,94,12.82,198.7,66,8.94,7.3,3,1.97,4,yes
VA,NA,area_code_415,no,no,0,138.9,65,23.61,208.9,109,17.76,232.4,82,10.46,9.2,3,2.48,2,no
TX,139,area_code_510,yes,yes,31,203.5,82,34.6,200.3,72,17.03,214,112,9.63,13.4,6,3.62,1,yes
WI,NA,area_code_415,no,no,0,180.2,134,30.63,97.7,85,8.3,181.7,134,8.18,8.4,3,2.27,1,no
CO,121,area_code_408,yes,no,0,167.7,94,28.51,93.7,121,7.96,241.3,115,10.86,13.4,1,3.62,3,yes
WV,58,area_code_408,no,yes,39,211.9,40,36.02,274.4,76,23.32,210.5,139,9.47,5.4,4,1.46,1,no
RI,113,area_code_415,no,no,0,2125.8,130,15.4,1102.6,100,14.5,137.4,74,6.18,5.4,9,1.46,1,no
CO,NA,area_code_510,no,no,0,158.8,53,27,188.5,132,16.02,189.3,87,8.52,9.8,4,2.65,2,no
FL,159,area_code_415,no,yes,15,1950.3,102,19.36,1077.3,146,12.35,195.2,137,8.78,11.8,9,3.19,1,no
OR,NA,area_code_415,no,no,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,no
LA,62,area_code_415,no,no,0,186.8,94,31.76,207.6,92,17.65,195,98,8.78,8.8,4,2.38,3,no
